id_libro,id_genero
1,10
2,9
3,22
4,24
5,3
6,14
7,16
8,25
8,8
9,6
10,13
11,8
12,3
12,8
13,9
13,5
14,4
14,24
15,22
16,15
17,9
18,1
18,21
19,10
20,25
21,16
22,15
23,4
24,20
25,3
26,25
26,24
27,9
28,2
28,13
29,9
29,4
30,14
31,23
32,16
33,8
33,17
34,24
35,20
36,8
36,22
37,23
38,14
38,2
39,25
40,24
41,9
42,11
43,9
44,3
44,1
45,16
46,16
47,14
48,4
49,23
49,16
50,19
51,17
52,22
52,13
53,4
54,21
55,19
55,4
56,25
57,19
58,20
59,13
60,2
61,15
62,19
62,17
63,13
64,21
64,24
65,22
65,1
66,6
67,11
68,14
69,24
69,15
70,9
70,12
71,12
71,8
72,2
73,23
74,9
74,25
75,7
75,18
76,18
76,21
77,13
78,25
78,6
79,3
79,11
80,18
81,8
82,10
83,24
84,13
85,16
86,25
87,9
88,16
88,12
89,15
90,25
90,6
91,11
91,1
92,19
93,17
94,18
95,18
96,13
97,3
98,3
99,22
100,9
101,11
102,13
103,13
104,24
105,10
105,20
106,3
107,8
108,2
109,5
110,9
111,8
112,8
112,15
113,7
114,10
115,1
116,16
116,15
117,18
118,7
118,14
119,17
120,21
121,13
122,23
123,12
123,9
124,12
125,8
125,11
126,3
127,5
127,11
128,23
128,8
129,19
129,5
130,17
131,18
132,20
133,12
134,21
135,8
135,15
136,2
137,15
138,14
139,6
140,15
141,2
142,16
142,23
143,22
144,24
145,9
146,24
146,1
147,16
148,25
149,13
149,7
150,10
151,22
152,8
153,17
154,5
154,25
155,22
156,1
157,2
157,23
158,19
158,4
159,3
159,20
160,14
161,24
162,20
163,6
163,1
164,16
165,11
166,13
167,22
168,14
169,16
170,11
171,10
172,23
173,9
174,6
175,7
176,21
177,11
178,4
179,1
180,2
180,18
181,12
182,1
183,17
183,1
184,13
185,19
186,3
187,7
187,21
188,6
189,12
190,22
191,20
191,12
192,15
193,25
194,5
195,15
195,1
196,18
197,4
197,10
198,4
198,12
199,19
200,4
201,20
202,20
203,15
203,22
204,13
205,4
205,22
206,11
207,5
208,16
209,13
210,2
211,16
211,22
212,19
213,17
214,21
215,17
216,23
217,13
218,21
218,7
219,5
220,7
221,21
222,14
223,16
224,4
225,16
226,10
227,25
228,22
229,17
230,7
230,3
231,19
232,19
233,21
234,2
235,2
236,13
236,7
237,18
238,22
239,24
239,17
240,6
241,22
242,7
243,6
244,23
244,11
245,7
246,19
247,1
248,13
249,23
250,10
251,8
252,11
253,13
253,8
254,13
255,5
256,20
257,14
258,23
259,21
259,10
260,21
261,9
262,1
263,14
264,7
265,16
265,9
266,21
267,2
268,15
269,23
270,21
271,6
272,16
272,3
273,11
274,24
275,22
276,23
277,18
278,19
279,25
280,7
281,18
281,16
282,17
283,16
283,4
284,2
285,6
285,3
286,3
286,8
287,12
288,5
289,25
290,17
291,7
291,25
292,11
293,1
294,11
294,9
295,12
295,15
296,21
297,13
298,10
299,8
300,7
301,24
302,15
303,8
304,10
305,5
306,11
307,22
308,17
309,20
310,24
311,12
311,2
312,4
313,1
