id_libro,titulo,descripcion,portada_url,stock,ISBN,id_editorial
1,La umbral en laberinto,"Una trama envolvente que mezcla drama, misterio y superacion personal. Un relato profundo sobre las relaciones humanas y el paso del tiempo.",https://covers.biblioteca.local/00001.jpg,1,978-1-151-86449-9,10
2,Salvaje Cielo,Un relato profundo sobre las relaciones humanas y el paso del tiempo. El autor construye un mundo lleno de detalles y matices inolvidables. Una historia que atrapa desde la primera pagina.,https://covers.biblioteca.local/00002.jpg,3,978-1-192-54629-3,17
3,El Destino en cronicas,Un clasico recomendado para lectores de todas las edades. El autor construye un mundo lleno de detalles y matices inolvidables. Una reflexion sobre la sociedad contemporanea contada con maestria.,https://covers.biblioteca.local/00003.jpg,1,978-1-86528-168-1,7
4,Prohibido Jardin,Un clasico recomendado para lectores de todas las edades. Un viaje narrativo que combina emocion e intriga en cada capitulo. Un relato profundo sobre las relaciones humanas y el paso del tiempo.,https://covers.biblioteca.local/00004.jpg,2,978-0-542-35733-6,30
5,La fuego y el bosque,Una historia que atrapa desde la primera pagina. Un texto imprescindible para comprender las tensiones de su tiempo.,https://covers.biblioteca.local/00005.jpg,1,978-0-14-188805-7,20
6,Bosque eterno,"Considerada una de las obras mas influyentes de su genero. La obra explora temas de identidad, perdida y esperanza.",https://covers.biblioteca.local/00006.jpg,1,978-1-222-92706-1,25
7,Puente infinito,El autor construye un mundo lleno de detalles y matices inolvidables. La narracion se despliega entre distintos escenarios y epocas.,https://covers.biblioteca.local/00007.jpg,3,978-0-7947-3834-1,7
8,Desierto infinito,Una historia que atrapa desde la primera pagina. Una reflexion sobre la sociedad contemporanea contada con maestria. Un viaje narrativo que combina emocion e intriga en cada capitulo.,https://covers.biblioteca.local/00008.jpg,1,978-0-597-74688-8,29
9,Secreto antiguo,La narracion se despliega entre distintos escenarios y epocas. Una reflexion sobre la sociedad contemporanea contada con maestria.,https://covers.biblioteca.local/00009.jpg,3,978-0-392-40758-8,35
10,La camino y el sueno,"Un relato profundo sobre las relaciones humanas y el paso del tiempo. Una trama envolvente que mezcla drama, misterio y superacion personal.",https://covers.biblioteca.local/00010.jpg,3,978-0-412-47826-0,6
11,Ultimo Camino,"Un viaje narrativo que combina emocion e intriga en cada capitulo. La obra explora temas de identidad, perdida y esperanza. Un clasico recomendado para lectores de todas las edades.",https://covers.biblioteca.local/00011.jpg,2,978-0-7506-0685-1,14
12,El Cielo del mar,Un viaje narrativo que combina emocion e intriga en cada capitulo. Una reflexion sobre la sociedad contemporanea contada con maestria.,https://covers.biblioteca.local/00012.jpg,2,978-1-153-05152-1,10
13,El Sueno del castillo,"La obra explora temas de identidad, perdida y esperanza. Un relato profundo sobre las relaciones humanas y el paso del tiempo. Una historia que atrapa desde la primera pagina.",https://covers.biblioteca.local/00013.jpg,2,978-0-472-77901-7,9
14,El Puente del mar,"Una historia que atrapa desde la primera pagina. La obra explora temas de identidad, perdida y esperanza. Los personajes enfrentan decisiones que cambiaran su destino para siempre.",https://covers.biblioteca.local/00014.jpg,1,978-1-328-98614-6,4
15,Infinito Corazon,Un texto imprescindible para comprender las tensiones de su tiempo. Un relato profundo sobre las relaciones humanas y el paso del tiempo.,https://covers.biblioteca.local/00015.jpg,1,978-1-103-69711-3,31
16,Puente sagrado,"Una trama envolvente que mezcla drama, misterio y superacion personal. Considerada una de las obras mas influyentes de su genero.",https://covers.biblioteca.local/00016.jpg,1,978-0-89324-609-9,15
17,El Cronicas sin espejo,La narracion se despliega entre distintos escenarios y epocas. Una historia que atrapa desde la primera pagina. Un texto imprescindible para comprender las tensiones de su tiempo.,https://covers.biblioteca.local/00017.jpg,1,978-0-9621851-8-2,31
18,Silencio eterno,"Un texto imprescindible para comprender las tensiones de su tiempo. Una trama envolvente que mezcla drama, misterio y superacion personal. Un relato profundo sobre las relaciones humanas y el paso del tiempo.",https://covers.biblioteca.local/00018.jpg,3,978-1-70654-051-9,6
19,La desierto del rio,Los personajes enfrentan decisiones que cambiaran su destino para siempre. Un clasico recomendado para lectores de todas las edades.,https://covers.biblioteca.local/00019.jpg,3,978-0-19-520585-5,38
20,La horizonte sin corazon,"Una trama envolvente que mezcla drama, misterio y superacion personal. Considerada una de las obras mas influyentes de su genero. Un clasico recomendado para lectores de todas las edades.",https://covers.biblioteca.local/00020.jpg,1,978-1-72217-043-1,28
21,El Legado de fuego,"El autor construye un mundo lleno de detalles y matices inolvidables. Una trama envolvente que mezcla drama, misterio y superacion personal.",https://covers.biblioteca.local/00021.jpg,1,978-0-05-486874-0,15
22,Laberinto escondido,El autor construye un mundo lleno de detalles y matices inolvidables. Un relato profundo sobre las relaciones humanas y el paso del tiempo. Una reflexion sobre la sociedad contemporanea contada con maestria.,https://covers.biblioteca.local/00022.jpg,3,978-0-450-54156-8,28
23,La cronicas en puente,"La narracion se despliega entre distintos escenarios y epocas. Una trama envolvente que mezcla drama, misterio y superacion personal.",https://covers.biblioteca.local/00023.jpg,1,978-1-65277-584-3,5
24,El Rio de silencio,Un texto imprescindible para comprender las tensiones de su tiempo. Una reflexion sobre la sociedad contemporanea contada con maestria.,https://covers.biblioteca.local/00024.jpg,1,978-1-169-28451-7,9
25,El Mar sin cielo,La narracion se despliega entre distintos escenarios y epocas. Un relato profundo sobre las relaciones humanas y el paso del tiempo. El autor construye un mundo lleno de detalles y matices inolvidables.,https://covers.biblioteca.local/00025.jpg,1,978-1-4479-6275-5,23
26,Camino lejano,Una reflexion sobre la sociedad contemporanea contada con maestria. Un relato profundo sobre las relaciones humanas y el paso del tiempo. Un clasico recomendado para lectores de todas las edades.,https://covers.biblioteca.local/00026.jpg,3,978-0-596-40165-8,33
27,Perdido Cronicas,Un viaje narrativo que combina emocion e intriga en cada capitulo. Un relato profundo sobre las relaciones humanas y el paso del tiempo. Una reflexion sobre la sociedad contemporanea contada con maestria.,https://covers.biblioteca.local/00027.jpg,2,978-0-297-02135-3,36
28,La bosque en mar,El autor construye un mundo lleno de detalles y matices inolvidables. Considerada una de las obras mas influyentes de su genero.,https://covers.biblioteca.local/00028.jpg,2,978-1-909275-57-7,40
29,El Desierto tras legado,"Una historia que atrapa desde la primera pagina. La obra explora temas de identidad, perdida y esperanza. Los personajes enfrentan decisiones que cambiaran su destino para siempre.",https://covers.biblioteca.local/00029.jpg,1,978-0-85654-310-4,20
30,La puente de reino,Un clasico recomendado para lectores de todas las edades. La narracion se despliega entre distintos escenarios y epocas.,https://covers.biblioteca.local/00030.jpg,3,978-1-86814-473-0,26
31,El Castillo tras fuego,Un relato profundo sobre las relaciones humanas y el paso del tiempo. Considerada una de las obras mas influyentes de su genero.,https://covers.biblioteca.local/00031.jpg,2,978-1-312-17271-5,14
32,Silencio escondido,"La obra explora temas de identidad, perdida y esperanza. Una reflexion sobre la sociedad contemporanea contada con maestria. Los personajes enfrentan decisiones que cambiaran su destino para siempre.",https://covers.biblioteca.local/00032.jpg,1,978-1-188-44225-7,21
33,El Camino del reino,La narracion se despliega entre distintos escenarios y epocas. Un relato profundo sobre las relaciones humanas y el paso del tiempo.,https://covers.biblioteca.local/00033.jpg,2,978-0-323-70589-9,18
34,Cronicas infinito,"Un clasico recomendado para lectores de todas las edades. Una trama envolvente que mezcla drama, misterio y superacion personal. El autor construye un mundo lleno de detalles y matices inolvidables.",https://covers.biblioteca.local/00034.jpg,2,978-1-82911-467-3,18
35,Sagrado Bosque,El autor construye un mundo lleno de detalles y matices inolvidables. Un relato profundo sobre las relaciones humanas y el paso del tiempo. Los personajes enfrentan decisiones que cambiaran su destino para siempre.,https://covers.biblioteca.local/00035.jpg,1,978-1-912517-78-7,38
36,Corazon lejano,Un viaje narrativo que combina emocion e intriga en cada capitulo. El autor construye un mundo lleno de detalles y matices inolvidables.,https://covers.biblioteca.local/00036.jpg,3,978-0-89226-801-6,39
37,El Jardin del espejo,"La obra explora temas de identidad, perdida y esperanza. Los personajes enfrentan decisiones que cambiaran su destino para siempre.",https://covers.biblioteca.local/00037.jpg,3,978-1-225-35841-1,19
38,La bosque de umbral,"La obra explora temas de identidad, perdida y esperanza. Un texto imprescindible para comprender las tensiones de su tiempo. El autor construye un mundo lleno de detalles y matices inolvidables.",https://covers.biblioteca.local/00038.jpg,1,978-0-8424-9818-0,35
39,Sagrado Cielo,Un relato profundo sobre las relaciones humanas y el paso del tiempo. El autor construye un mundo lleno de detalles y matices inolvidables. Una historia que atrapa desde la primera pagina.,https://covers.biblioteca.local/00039.jpg,4,978-0-299-59001-7,28
40,El Destino de laberinto,Un clasico recomendado para lectores de todas las edades. El autor construye un mundo lleno de detalles y matices inolvidables. La narracion se despliega entre distintos escenarios y epocas.,https://covers.biblioteca.local/00040.jpg,2,978-1-396-90784-5,19
41,El Horizonte de laberinto,"Un clasico recomendado para lectores de todas las edades. Una trama envolvente que mezcla drama, misterio y superacion personal.",https://covers.biblioteca.local/00041.jpg,1,978-1-364-71027-9,24
42,El Silencio de secreto,Un clasico recomendado para lectores de todas las edades. El autor construye un mundo lleno de detalles y matices inolvidables. Considerada una de las obras mas influyentes de su genero.,https://covers.biblioteca.local/00042.jpg,2,978-1-7359255-5-4,6
43,Espejo profundo,"Una reflexion sobre la sociedad contemporanea contada con maestria. La obra explora temas de identidad, perdida y esperanza.",https://covers.biblioteca.local/00043.jpg,2,978-0-588-15371-8,5
44,El Corazon sin viaje,"Una reflexion sobre la sociedad contemporanea contada con maestria. La narracion se despliega entre distintos escenarios y epocas. La obra explora temas de identidad, perdida y esperanza.",https://covers.biblioteca.local/00044.jpg,3,978-1-321-04696-0,16
45,El Castillo en viaje,"Un clasico recomendado para lectores de todas las edades. La obra explora temas de identidad, perdida y esperanza.",https://covers.biblioteca.local/00045.jpg,1,978-0-595-32787-4,5
46,Prohibido Destino,La narracion se despliega entre distintos escenarios y epocas. Un clasico recomendado para lectores de todas las edades. Un texto imprescindible para comprender las tensiones de su tiempo.,https://covers.biblioteca.local/00046.jpg,1,978-1-70168-733-2,21
47,La castillo y el rio,"Una trama envolvente que mezcla drama, misterio y superacion personal. La narracion se despliega entre distintos escenarios y epocas. Los personajes enfrentan decisiones que cambiaran su destino para siempre.",https://covers.biblioteca.local/00047.jpg,1,978-0-04-797480-9,18
48,El Puente sin rio,"Una trama envolvente que mezcla drama, misterio y superacion personal. Un texto imprescindible para comprender las tensiones de su tiempo. Una historia que atrapa desde la primera pagina.",https://covers.biblioteca.local/00048.jpg,4,978-1-245-65060-1,4
